vibration,pressure,force,stroke_cycle_time,motor_current,temperature,replaced_parts,failures_frequency,downtime,reported_warnings,safety_bypass,status
5.75,105.37,372.45,2.23,23.75,54.8,4,5,1.4,2,1,failure
4.79,108.41,452.05,1.72,17.94,51.47,1,1,0.31,2,0,safe
5.97,116.25,500.42,2.26,20.38,45.42,2,6,0.78,2,1,failure
7.28,115.81,503.76,2.41,18.15,40.47,4,2,1.3,0,0,failure
4.65,79.33,463.99,2.12,18.26,49.89,4,2,0.11,2,1,failure
4.65,85.93,549.83,2.56,18.76,47.75,3,4,1.16,0,0,safe
7.37,107.73,414.59,1.77,20.89,51.27,0,2,0.1,1,0,failure
6.15,107.71,488.61,1.63,18.09,49.45,1,1,3.36,2,0,safe
4.3,107.73,509.62,1.47,25.02,52.35,0,9,0.67,1,1,failure
5.81,157.79,541.16,2.45,16.42,41.25,1,8,0.16,1,0,failure
4.3,108.56,556.93,2.2,19.25,54.22,1,1,0.42,2,0,safe
4.3,117.03,410.03,1.98,18.24,46.38,0,1,0.53,0,0,safe
5.36,114.31,377.27,2.08,25.79,59.53,4,7,1.42,2,0,failure
2.13,109.77,602.21,1.66,20.79,40.18,1,8,1.36,1,1,failure
2.41,95.27,526.59,2.73,24.13,57.15,0,6,0.95,1,0,failure
4.16,111.38,440.12,2.04,14.06,46.39,1,2,0.11,2,0,safe
3.48,88.41,624.09,2.03,21.07,40.44,2,8,0.16,0,0,failure
5.47,96.45,509.25,2.22,23.56,41.61,4,2,0.1,0,0,safe
3.64,92.72,594.34,2.14,20.33,42.76,3,4,0.86,1,0,safe
2.88,101.23,505.4,2.07,24.26,47.97,1,8,2.1,1,0,failure
7.2,134.72,664.86,1.76,17.93,48.66,2,2,0.57,0,0,failure
4.66,71.99,640.43,2.14,25.64,40.98,3,6,0.18,2,0,safe
5.1,110.29,480.08,2.56,29.2,44.83,3,0,0.82,1,0,safe
2.86,75.81,577.73,2.4,18.55,60,1,3,1.67,0,0,failure
4.18,92.92,551.63,2.48,18.22,57.09,0,3,1.35,1,0,failure
5.17,116.33,609.49,1.85,25.81,48.05,1,6,2.13,2,0,safe
3.27,100.96,422.81,1.7,26.32,45.27,2,7,0.33,0,0,failure
5.56,83.83,554.88,1.96,17.91,45.84,3,0,0.22,1,1,failure
4.1,89.27,584.67,2.02,18.32,49.29,1,4,2.12,2,1,failure
4.56,110.19,359.3,2.33,18.87,37.84,0,6,1.07,1,0,safe
4.1,89.04,405.34,1.49,14.62,43.2,1,3,0.37,2,0,safe
7.78,103.25,336.86,2.46,16.33,33.32,4,3,1.36,2,1,failure
4.98,100.68,478.45,1.95,15.98,47.79,0,3,1.69,0,0,safe
3.41,90.23,557.4,1.87,16.93,49.53,2,5,0.95,2,0,safe
6.23,132.16,620.19,1.7,19.86,41.62,3,6,1.16,1,0,safe
3.17,109.51,505.93,1.5,20.94,56.02,1,1,0.47,2,0,failure
5.31,69.62,630.29,2.25,26.2,36.42,0,4,0.77,2,0,safe
2.06,102.8,389.59,2.02,16.01,34.75,4,3,0.74,0,0,safe
3.01,90.07,363.73,1.61,23.94,46.57,0,2,1.88,2,1,failure
5.3,112.79,495.56,1.61,19.14,52.33,4,6,1.83,2,1,failure
6.11,88.11,530.73,1.9,19.8,56.79,2,5,1.79,1,0,failure
